model_name,mean_test_score,std_test_score,mean_fit_time,params,rank_test_score,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__class_weight,param_tfidf__min_df,param_tfidf__ngram_range,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
majority_baseline,0.11706874973026629,5.8142478034209276e-05,0.0,{},1,,,,,,,,,,,,,,,,,,,
logistic_regression,0.5993128260931609,0.010146315584010543,0.34224705696105956,"{'classifier__C': 0.1, 'classifier__class_weight': None, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}",35,0.01013434613266666,0.04527482986450195,0.00478548602233625,0.1,,1.0,"(1, 1)",0.6112795795613761,0.5869719556678831,0.6063904530702529,0.6045248611701338,0.5873972809961592,0.6323407300275349,0.6434334487884226,0.623005156239434,0.6379071113700159,0.6472720286750879,0.6367916950200991,0.008544871926347494
logistic_regression,0.5680251553012459,0.006768065156435347,2.33357720375061,"{'classifier__C': 0.1, 'classifier__class_weight': None, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",36,0.18771467357285615,0.07819228172302246,0.010114576156574054,0.1,,1.0,"(1, 2)",0.5761386660617895,0.570026652691347,0.5715139169347228,0.5664432199893924,0.5560033208289774,0.6061516138906354,0.6066486842705046,0.6071054693846919,0.6113770273176935,0.6118463984587497,0.608625838664455,0.0024610361586162427
logistic_regression,0.6257207969011788,0.01575935636478602,0.3401771545410156,"{'classifier__C': 0.1, 'classifier__class_weight': None, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",33,0.03268944114361139,0.0383204460144043,0.0060164228304498,0.1,,2.0,"(1, 1)",0.6436130989685498,0.612571660365778,0.6457661572457868,0.6177818858767604,0.6088711820490187,0.6758789391718076,0.6836227135685076,0.6753767229456091,0.6926253161192407,0.6901012376734483,0.6835209858957226,0.0070841906796419414
logistic_regression,0.603686105373181,0.010362863764309296,0.8694730758666992,"{'classifier__C': 0.1, 'classifier__class_weight': None, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",34,0.14001670755778245,0.10032453536987304,0.02104928561529191,0.1,,2.0,"(1, 2)",0.6229360081559269,0.6001312011968571,0.5990864087854642,0.6040982594780063,0.5921786492496504,0.6252273053675961,0.6393195488681468,0.637918909572892,0.6481854140652281,0.6526592506909314,0.6406620857129589,0.009466702718787126
logistic_regression,0.6759540507114632,0.0187772948319573,0.2363739013671875,"{'classifier__C': 0.1, 'classifier__class_weight': None, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 1)}",31,0.017908652209418653,0.03989763259887695,0.0031265155302544825,0.1,,5.0,"(1, 1)",0.6911192747112413,0.6636639924674553,0.702808118607968,0.650628797526556,0.6715500702440954,0.7330091352474696,0.7344501725426222,0.7298902448092083,0.7454014110982949,0.735330839602003,0.7356163606599195,0.005230196098963814
logistic_regression,0.6653730040310292,0.011703477978533184,0.7012028217315673,"{'classifier__C': 0.1, 'classifier__class_weight': None, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",32,0.02860515535316465,0.08261427879333497,0.008457102853153266,0.1,,5.0,"(1, 2)",0.6772387669959712,0.6507829944525524,0.6810435581687224,0.6598544620990671,0.6579452384388323,0.7128921655982614,0.729200505592662,0.723873978206531,0.7292668457299455,0.73207171657846,0.725461042341172,0.006821497985937262
logistic_regression,0.8126084630331123,0.018271521864689257,0.3291200637817383,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}",27,0.036319800202629225,0.04184665679931641,0.003063895060550305,0.1,balanced,1.0,"(1, 1)",0.8326093433484112,0.8108311892367139,0.8271366721905292,0.8123359564561072,0.7801291539338003,0.8579228793979263,0.8609061998014023,0.8621000636666689,0.8596712233277657,0.8643417702979512,0.8609884272983429,0.0021734772269114376
logistic_regression,0.8070650179613293,0.018200468297106552,1.3577960968017577,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",30,0.10277588375873141,0.08475427627563477,0.010809360454588158,0.1,balanced,1.0,"(1, 2)",0.8307687509500989,0.8056881295339611,0.8207443543201786,0.800401585264473,0.7777222697379347,0.8864856385749164,0.8848898937730814,0.8824312238024821,0.8880755967532992,0.8865291573324199,0.8856823020472397,0.0019124745032172551
logistic_regression,0.8162548502785876,0.013516650715678537,0.23490529060363768,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",25,0.026450559710937634,0.03576302528381348,0.004025957520222619,0.1,balanced,2.0,"(1, 1)",0.8334567424546353,0.8123148137809724,0.8280890510035945,0.8122834158211026,0.7951302283326331,0.8577679373248338,0.8591380117158387,0.8601500794646797,0.8613994244837329,0.863513203095294,0.8603937312168757,0.001963339754212792
