subject,direction,rank,feature,coefficient,exact_source_name_match,dominant_source,source_dominance_ratio,possible_source_shortcut
math,positive,1,let,2.4473577005954192,False,scibench-stat,0.3757303466178417,False
math,positive,2,random,1.9196744601860019,False,scibench-stat,0.48060604565287895,False
math,positive,3,group,1.9123148975277044,False,ori_mmlu-abstract_algebra,0.4965478877659282,False
math,positive,4,numbers,1.8854927827106276,False,ori_mmlu-high_school_mathematics,0.3433428055017273,False
math,positive,5,statement,1.8600226547410226,False,ori_mmlu-abstract_algebra,0.6886520830369444,False
math,positive,6,number,1.8524575936585765,False,ori_mmlu-elementary_mathematics,0.16332168897764265,False
math,positive,7,what is,1.7361052976449627,False,ori_mmlu-high_school_mathematics,0.09227337929269529,False
math,positive,8,compute,1.730800489751925,False,scibench-stat,0.34361368330601527,False
math,positive,9,find,1.6981030837598021,False,scibench-diff,0.13821097551735856,False
math,positive,10,how many,1.6838333571810205,False,theoremQA-Math,0.14766893586701482,False
math,positive,11,frac,1.6140230810511011,False,scibench-chemmc,0.3017700115036586,False
math,positive,12,mathrm ft,1.5911887972679588,False,scibench-calculus,0.9453604603065856,True
math,positive,13,school,1.5303183926889345,False,ori_mmlu-high_school_statistics,0.7173889786227012,False
math,positive,14,cost,1.502224412896144,False,ori_mmlu-elementary_mathematics,0.4439899967454954,False
math,positive,15,probability,1.456040469808474,False,scibench-stat,0.33027167009904496,False
math,positive,16,suppose,1.4235550097236105,False,scibench-diff,0.16275766515616702,False
math,positive,17,correct statement,1.378965055946504,False,ori_mmlu-high_school_statistics,0.5441252563536388,False
math,positive,18,matrix,1.358791833636179,False,ori_mmlu-college_mathematics,0.38643888319982744,False
math,positive,19,over,1.355943032836347,False,ori_mmlu-elementary_mathematics,0.2786547220441883,False
math,positive,20,if,1.3455098242239787,False,ori_mmlu-abstract_algebra,0.0933683898152863,False
math,negative,1,evaluate the,-2.303888110173134,False,scibench-chemmc,0.8378589881565687,True
math,negative,2,energy,-2.0937941811510212,False,scibench-quan,0.14229066523526734,False
math,negative,3,of,-1.5716257852405897,False,stemez-Optics,0.040162040749465715,False
math,negative,4,the series,-1.4126205121248727,False,scibench-chemmc,0.8917175769989844,True
math,negative,5,cell,-1.4037595343150961,False,scibench-matter,0.17161968128910857,False
math,negative,6,temperature,-1.3690342597173955,False,scibench-thermo,0.1949093278964653,False
math,negative,7,explain,-1.3684436297741547,False,stemez-Biology,0.7687170527955213,False
math,negative,8,charge,-1.3664851604223969,False,scibench-fund,0.6922213507108332,False
math,negative,9,light,-1.3376776861645627,False,stemez-Optics,0.22885585690375784,False
math,negative,10,reaction,-1.3274341792082764,False,ori_mmlu-high_school_chemistry,0.21756451682217387,False
math,negative,11,which one,-1.2718961159242341,False,ori_mmlu-college_chemistry,0.3462760298267563,False
math,negative,12,quotient 2x,-1.1486352117903091,False,stemez-Chemistry,1.0,True
math,negative,13,electric,-1.1426706350283757,False,scibench-fund,0.5661101099968221,False
math,negative,14,calculate,-1.1405361037353678,False,scibench-chemmc,0.13626134624944006,False
math,negative,15,speed,-1.1320001041152468,False,ori_mmlu-high_school_physics,0.12070016451385271,False
math,negative,16,why,-1.1271171208785238,False,ori_mmlu-astronomy,0.3360235135889961,False
math,negative,17,genetic,-1.1096512898590571,False,stemez-Genetics,0.47635650153344994,False
math,negative,18,sec,-1.0895160953878371,False,stemez-Mechanics,0.5838375785908669,False
math,negative,19,ph,-1.0893556513959084,False,stemez-OrganicChemistry,0.3508219241147543,False
math,negative,20,water,-1.0845680286691655,False,scibench-thermo,0.12760189860207544,False
physics,positive,1,charge,2.677349834386818,False,scibench-fund,0.6922213507108332,False
physics,positive,2,force,2.253792888037553,False,scibench-fund,0.14552902062807682,False
physics,positive,3,light,2.159717862232648,False,stemez-Optics,0.22885585690375784,False
physics,positive,4,speed,2.0619239342175173,False,ori_mmlu-high_school_physics,0.12070016451385271,False
physics,positive,5,electric,1.9258814572449372,False,scibench-fund,0.5661101099968221,False
physics,positive,6,solar,1.7667097106066116,False,ori_mmlu-astronomy,0.6551632641221196,False
physics,positive,7,kg,1.7454670419800145,False,theoremQA-Physics,0.17036547092304086,False
physics,positive,8,mass,1.7283472319823736,False,scibench-class,0.1532207451991438,False
physics,positive,9,acceleration,1.6931598689359326,False,ori_mmlu-high_school_physics,0.1969584741929719,False
physics,positive,10,sound,1.5691827520645758,False,ori_mmlu-conceptual_physics,0.37623742268998395,False
physics,positive,11,energy,1.5300453123217606,False,scibench-quan,0.14229066523526734,False
physics,positive,12,power,1.4831446333787686,False,stemez-Optics,0.49395660321288626,False
physics,positive,13,motion,1.4614444048179518,False,ori_mmlu-high_school_physics,0.2488707718104214,False
physics,positive,14,earth,1.4361648690863196,False,stemez-Mechanics,0.20156985971671285,False
physics,positive,15,when,1.396099665026137,False,ori_mmlu-conceptual_physics,0.15137648172257998,False
physics,positive,16,ft,1.3574373512213247,False,scibench-calculus,0.4658760105397838,False
physics,positive,17,radius,1.3435234947517591,False,theoremQA-Physics,0.14910168964868148,False
physics,positive,18,wave,1.3288591041197415,False,stemez-Optics,0.2236469751573486,False
physics,positive,19,about an,1.3204603593131115,False,ori_mmlu-astronomy,1.0,True
